scenario,profile,loss_pct,domain,status,measurement_status,profile,baseline_rtt_ms,baseline_ttfb_ms,pass_ttfb_ms,hybrid_ttfb_ms,fail_ttfb_ms,selected_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,hybrid_loss_threshold_pct,cbom_migration_risk,cbom_migration_reason,error
model-pass,pass,0.1,nta.ac.in,fail,pass,pass,469.43,1006.32,954.76,2022.09,2394.87,954.76,954.76,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,digilocker.gov.in,fail,pass,pass,477.99,1024.54,972.05,2058.78,2438.26,972.05,972.05,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,cowin.gov.in,fail,pass,pass,236.55,510.76,484.59,1023.91,1214.24,484.59,484.59,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,parivahan.gov.in,fail,pass,pass,484.02,1037.37,984.22,2084.62,2468.83,984.22,984.22,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,passportindia.gov.in,fail,pass,pass,216.44,467.97,443.99,937.71,1112.28,443.99,443.99,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,eprovidentfund.gov.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,[Errno -2] Name or service not known
model-pass,pass,0.1,mca.gov.in,fail,pass,pass,250.62,540.69,512.99,1084.22,1285.57,512.99,512.99,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,gst.gov.in,fail,pass,pass,274.89,592.34,561.99,1188.24,1408.61,561.99,561.99,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,incometax.gov.in,fail,pass,pass,270.81,583.66,553.76,1170.76,1387.92,553.76,553.76,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,uidai.gov.in,fail,pass,pass,497.5,1066.06,1011.44,2142.4,2537.17,1011.44,1011.44,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,india.gov.in,fail,pass,pass,263.25,567.57,538.49,1138.35,1349.6,538.49,538.49,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,adityabirlacapital.com,fail,pass,pass,288.34,620.96,589.15,1245.89,1476.8,589.15,589.15,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,shriramfinance.in,fail,pass,pass,309.39,665.76,631.65,1336.12,1583.51,631.65,631.65,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,cholamandalam.com,fail,pass,pass,239.14,516.27,489.82,1035.01,1227.37,489.82,489.82,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,manappuram.com,pass,pass,pass,18.51,47.73,45.28,91.08,112.2,45.28,45.28,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,muthootfinance.com,fail,pass,pass,169.94,369.01,350.1,738.4,876.54,350.1,350.1,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bajajfinserv.in,pass,pass,pass,12.95,36.0,34.16,67.45,84.4,34.16,34.16,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,maxlifeinsurance.com,fail,pass,pass,294.17,633.37,600.92,1270.88,1506.35,600.92,600.92,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,iciciprulife.com,fail,pass,pass,239.48,516.99,490.5,1036.47,1229.09,490.5,490.5,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hdfclife.com,pass,pass,pass,11.01,31.92,30.28,59.21,74.7,30.28,30.28,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,sbilife.co.in,pass,pass,pass,33.62,79.58,75.5,155.3,187.75,75.5,75.5,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,licindia.in,pass,pass,pass,31.04,74.14,70.34,144.34,174.85,70.34,70.34,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,digit.in,pass,pass,pass,26.15,63.83,60.56,123.55,150.4,60.56,60.56,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,acko.com,pass,pass,pass,22.52,56.18,53.3,108.13,132.25,53.3,53.3,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,coverfox.com,pass,pass,pass,17.18,44.92,42.62,85.43,105.55,42.62,42.62,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,paisabazaar.com,pass,pass,pass,14.78,39.86,37.82,75.23,93.55,37.82,37.82,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bankbazaar.com,pass,pass,pass,33.04,78.35,74.34,152.84,184.85,74.34,74.34,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,policybazaar.com,pass,pass,pass,19.99,50.84,48.24,97.37,119.6,48.24,48.24,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,kotaksec.com,fail,pass,pass,245.57,529.95,502.8,1062.57,1259.96,502.8,502.8,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,motilaloswal.com,pass,pass,pass,12.97,36.05,34.2,67.54,84.5,34.2,34.2,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,sharekhan.com,fail,pass,pass,259.97,560.59,531.87,1124.29,1332.97,531.87,531.87,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hdfcsec.com,pass,pass,pass,14.33,38.91,36.92,73.32,91.3,36.92,36.92,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,icicidirect.com,fail,pass,pass,244.47,527.61,500.58,1057.86,1254.39,500.58,500.58,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,5paisa.com,pass,pass,pass,20.49,51.9,49.24,99.5,122.1,49.24,49.24,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,angelone.in,pass,pass,pass,18.7,48.13,45.66,91.89,113.15,45.66,45.66,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,groww.in,pass,pass,pass,16.74,43.99,41.74,83.56,103.35,41.74,41.74,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,upstox.com,pass,pass,pass,15.06,40.45,38.38,76.42,94.95,38.38,38.38,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,zerodha.com,pass,pass,pass,14.82,39.95,37.9,75.4,93.75,37.9,37.9,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,punjabandsindbank.co.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,[Errno -2] Name or service not known
model-pass,pass,0.1,indianoverseasbank.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,mahabank.co.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,[Errno -2] Name or service not known
model-pass,pass,0.1,uco.in,fail,pass,pass,1204.45,2570.44,2438.75,5172.56,6121.19,2438.75,2438.75,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,centralbankofindia.co.in,fail,pass,pass,481.38,1031.75,978.89,2073.31,2455.45,978.89,978.89,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bankofindia.co.in,pass,pass,pass,21.0,52.97,50.26,101.67,124.65,50.26,50.26,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,southindianbank.com,pass,pass,pass,16.38,43.24,41.02,82.03,101.55,41.02,41.02,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bandhanbank.com,fail,pass,pass,259.66,559.94,531.25,1122.96,1331.4,531.25,531.25,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,rblbank.com,pass,pass,pass,14.2,38.64,36.66,72.77,90.65,36.66,36.66,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,federalbank.co.in,pass,pass,pass,23.05,57.3,54.36,110.38,134.9,54.36,54.36,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,idfcfirstbank.com,pass,pass,pass,31.63,75.38,71.52,146.84,177.8,71.52,71.52,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,indusind.com,fail,pass,pass,439.18,941.95,893.69,1892.43,2241.51,893.69,893.69,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,yesbank.in,pass,pass,pass,21.41,53.84,51.08,103.41,126.7,51.08,51.08,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,indianbank.in,fail,pass,pass,439.89,943.46,895.12,1895.47,2245.11,895.12,895.12,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,canarabank.com,hybrid,pass,pass,111.31,244.24,231.73,487.1,579.31,231.73,231.73,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,unionbankofindia.co.in,fail,pass,pass,249.72,538.78,511.18,1080.36,1281.0,511.18,511.18,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bankofbaroda.in,fail,pass,pass,640.65,1370.67,1300.45,2755.98,3262.9,1300.45,1300.45,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,pnbindia.in,fail,pass,pass,504.92,1081.85,1026.42,2174.21,2574.79,1026.42,1026.42,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,kotak.com,fail,pass,pass,527.4,1129.68,1071.8,2270.56,2688.76,1071.8,1071.8,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,axisbank.com,pass,pass,pass,11.51,32.97,31.28,61.33,77.2,31.28,31.28,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,icicibank.com,fail,pass,pass,241.24,520.74,494.06,1044.01,1238.01,494.06,494.06,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hdfcbank.com,pass,pass,pass,15.42,41.21,39.1,77.95,96.75,39.1,39.1,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,sbi.co.in,fail,pass,pass,629.34,1346.61,1277.62,2707.5,3205.56,1277.62,1277.62,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,nseindia.com,pass,pass,pass,14.13,38.49,36.52,72.47,90.3,36.52,36.52,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bseindia.com,pass,pass,pass,13.56,37.29,35.38,70.05,87.45,35.38,35.38,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,economictimes.indiatimes.com,pass,pass,pass,13.25,36.64,34.76,68.73,85.9,34.76,34.76,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,livemint.com,pass,pass,pass,13.77,37.73,35.8,70.94,88.5,35.8,35.8,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,moneycontrol.com,pass,pass,pass,13.55,37.27,35.36,70.0,87.4,35.36,35.36,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,epaper.timesgroup.com,fail,pass,pass,241.59,521.48,494.76,1045.51,1239.79,494.76,494.76,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hungama.com,fail,pass,pass,216.6,468.3,444.31,938.4,1113.1,444.31,444.31,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,wynk.in,pass,pass,pass,20.49,51.9,49.24,99.5,122.1,49.24,49.24,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,jiosaavn.com,fail,pass,pass,307.43,661.59,627.69,1327.72,1573.58,627.69,627.69,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,gaana.com,pass,pass,pass,26.64,64.86,61.54,125.64,152.85,61.54,61.54,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mxplayer.in,pass,pass,pass,18.02,46.69,44.3,89.0,109.75,44.3,44.3,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,altbalaji.com,pass,pass,pass,14.94,40.2,38.14,75.91,94.35,38.14,38.14,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,voot.com,pass,pass,pass,21.43,53.88,51.12,103.49,126.8,51.12,51.12,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bsnl.co.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,vi.com,pass,pass,pass,15.66,41.72,39.58,78.97,97.95,39.58,39.58,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,airtel.in,fail,pass,pass,257.65,555.66,527.19,1114.35,1321.21,527.19,527.19,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,jio.com,fail,pass,pass,243.35,525.23,498.32,1053.06,1248.71,498.32,498.32,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,sonyliv.com,fail,pass,pass,187.63,406.65,385.82,814.23,966.23,385.82,385.82,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,zee5.com,pass,pass,pass,13.9,38.01,36.06,71.49,89.15,36.06,36.06,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hotstar.com,pass,pass,pass,15.01,40.35,38.28,76.21,94.7,38.28,38.28,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,anandabazar.com,pass,pass,pass,17.94,46.52,44.14,88.66,109.35,44.14,44.14,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,lokmat.com,pass,pass,pass,16.93,44.39,42.12,84.37,104.3,42.12,42.12,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,dinamalar.com,fail,pass,pass,218.01,471.31,447.16,944.44,1120.24,447.16,447.16,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,dailythanthi.com,pass,pass,pass,21.49,54.01,51.24,103.75,127.1,51.24,51.24,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,sakshi.com,pass,pass,pass,14.18,38.6,36.62,72.68,90.55,36.62,36.62,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,eenadu.net,fail,pass,pass,264.07,569.32,540.15,1141.87,1353.75,540.15,540.15,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,manoramaonline.com,pass,pass,pass,44.44,102.39,97.14,201.29,241.85,97.14,97.14,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mathrubhumi.com,fail,pass,pass,306.61,659.85,626.04,1324.2,1569.42,626.04,626.04,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,malayalam.samayam.com,pass,pass,pass,14.71,39.71,37.68,74.93,93.2,37.68,37.68,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,patrika.com,pass,pass,pass,35.57,83.69,79.4,163.59,197.5,79.4,79.4,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,livehindustan.com,pass,pass,pass,17.59,45.79,43.44,87.17,107.6,43.44,43.44,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,navbharattimes.indiatimes.com,pass,pass,pass,13.6,37.37,35.46,70.22,87.65,35.46,35.46,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,amarujala.com,pass,pass,pass,22.02,55.12,52.3,106.0,129.75,52.3,52.3,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,jagran.com,pass,pass,pass,27.91,67.54,64.08,131.03,159.2,64.08,64.08,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bhaskar.com,fail,pass,pass,269.63,581.14,551.37,1165.7,1381.94,551.37,551.37,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,aajtak.in,pass,pass,pass,21.72,54.49,51.7,104.73,128.25,51.7,51.7,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,abplive.com,pass,pass,pass,12.96,36.03,34.18,67.5,84.45,34.18,34.18,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,zeenews.india.com,pass,pass,pass,12.79,35.67,33.84,66.77,83.6,33.84,33.84,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,republicworld.com,pass,pass,pass,14.15,38.53,36.56,72.55,90.4,36.56,36.56,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,opindia.com,pass,pass,pass,15.68,41.76,39.62,79.06,98.05,39.62,39.62,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,thewire.in,pass,pass,pass,24.04,59.38,56.34,114.59,139.85,56.34,56.34,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,scroll.in,pass,pass,pass,15.83,42.08,39.92,79.69,98.8,39.92,39.92,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,theprint.in,pass,pass,pass,27.54,66.76,63.34,129.46,157.35,63.34,63.34,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,firstpost.com,pass,pass,pass,44.89,103.33,98.04,203.2,244.1,98.04,98.04,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,indiatoday.in,pass,pass,pass,24.5,60.35,57.26,116.54,142.15,57.26,57.26,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,news18.com,pass,pass,pass,12.45,34.95,33.16,65.33,81.9,33.16,33.16,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,indianexpress.com,pass,pass,pass,12.71,35.5,33.68,66.43,83.2,33.68,33.68,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hindustantimes.com,pass,pass,pass,12.14,34.3,32.54,64.01,80.35,32.54,32.54,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,thehindu.com,pass,pass,pass,16.22,42.9,40.7,81.35,100.75,40.7,40.7,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,ndtv.com,pass,pass,pass,13.61,37.4,35.48,70.26,87.7,35.48,35.48,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,timesofindia.indiatimes.com,pass,pass,pass,14.08,38.39,36.42,72.26,90.05,36.42,36.42,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,healthkart.com,pass,pass,pass,19.62,50.07,47.5,95.8,117.75,47.5,47.5,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,apollo247.com,pass,pass,pass,22.97,57.13,54.2,110.04,134.5,54.2,54.2,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,netmeds.com,hybrid,pass,pass,78.92,175.32,166.34,348.27,415.1,166.34,166.34,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,1mg.com,pass,pass,pass,25.87,63.24,60.0,122.36,149.0,60.0,60.0,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,pharmeasy.in,pass,pass,pass,15.74,41.89,39.74,79.31,98.35,39.74,39.74,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mfine.co,fail,pass,pass,299.92,645.61,612.53,1295.53,1535.5,612.53,612.53,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,boat-lifestyle.com,pass,pass,pass,46.46,106.64,101.18,209.87,251.95,101.18,101.18,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bewakoof.com,pass,pass,pass,13.56,37.29,35.38,70.05,87.45,35.38,35.38,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,urbancompany.com,pass,pass,pass,15.35,41.06,38.96,77.65,96.4,38.96,38.96,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,sulekha.com,fail,pass,pass,148.96,324.37,307.75,648.48,770.18,307.75,307.75,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,justdial.com,pass,pass,pass,17.79,46.21,43.84,88.02,108.6,43.84,43.84,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,tradeindia.com,pass,pass,pass,45.53,104.68,99.32,205.92,247.3,99.32,99.32,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,indiamart.com,pass,pass,pass,18.52,47.75,45.3,91.13,112.25,45.3,45.3,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,urbanladder.com,fail,pass,pass,240.62,519.41,492.8,1041.35,1234.87,492.8,492.8,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,pepperfry.com,pass,pass,pass,20.33,51.56,48.92,98.82,121.3,48.92,48.92,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,shopclues.com,fail,pass,pass,245.04,528.82,501.73,1060.3,1257.28,501.73,501.73,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,snapdeal.com,fail,pass,pass,265.6,572.57,543.24,1148.42,1361.51,543.24,543.24,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,firstcry.com,fail,pass,pass,240.99,520.2,493.55,1042.94,1236.75,493.55,493.55,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,jiomart.com,fail,pass,pass,242.37,523.14,496.34,1048.85,1243.74,496.34,496.34,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,tatacliq.com,pass,pass,pass,44.78,103.1,97.82,202.73,243.55,97.82,97.82,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,reliancedigital.in,fail,pass,pass,259.08,558.69,530.07,1120.48,1328.46,530.07,530.07,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,croma.com,pass,pass,pass,13.19,36.51,34.64,68.47,85.6,34.64,34.64,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,lenskart.com,pass,pass,pass,17.16,44.88,42.58,85.35,105.45,42.58,42.58,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,cred.club,pass,pass,pass,14.95,40.22,38.16,75.95,94.4,38.16,38.16,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mobikwik.com,pass,pass,pass,11.95,33.9,32.16,63.2,79.4,32.16,32.16,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,freecharge.in,fail,pass,pass,252.76,545.24,517.31,1093.39,1296.42,517.31,517.31,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,phonepe.com,pass,pass,pass,24.14,59.59,56.54,115.01,140.35,56.54,56.54,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
